lon_min,lat_min,lon_max,lat_max,value,geometry,_merge
38.5,-15.0,38.75,-14.75,34.381642513263955,,left_only
38.75,-15.0,39.0,-14.75,38.64840364662939,,left_only
39.0,-15.0,39.25,-14.75,71.93491220914518,,left_only
39.25,-15.0,39.5,-14.75,85.6936424950909,,left_only
39.5,-15.0,39.75,-14.75,49.729911415994366,,left_only
39.75,-15.0,40.0,-14.75,64.4649426547204,,left_only
40.0,-15.0,40.25,-14.75,83.86674808008866,,left_only
40.25,-15.0,40.5,-14.75,56.08829131741675,,left_only
40.5,-15.0,40.75,-14.75,79.26852396281708,,left_only
40.75,-15.0,41.0,-14.75,13.290053287846831,,left_only
16.0,-14.75,16.25,-14.5,12.35335918282226,,left_only
17.5,-14.75,17.75,-14.5,60.42343385452955,,left_only
17.75,-14.75,18.0,-14.5,23.11840703880182,,left_only
24.25,-14.75,24.5,-14.5,11.216651165499345,,left_only
24.5,-14.75,24.75,-14.5,10.801635041701845,,left_only
24.75,-14.75,25.0,-14.5,31.30997367772829,,left_only
25.0,-14.75,25.25,-14.5,21.45335136765152,,left_only
25.25,-14.75,25.5,-14.5,12.965046996957994,,left_only
27.0,-14.75,27.25,-14.5,17.681663381711473,,left_only
27.25,-14.75,27.5,-14.5,18.53164556182776,,left_only
27.5,-14.75,27.75,-14.5,19.99998522868009,,left_only
27.75,-14.75,28.0,-14.5,26.181599058325787,,left_only
28.0,-14.75,28.25,-14.5,34.15647451290101,,left_only
28.25,-14.75,28.5,-14.5,72.72339993280525,,left_only
28.5,-14.75,28.75,-14.5,54.07517972311905,,left_only
28.75,-14.75,29.0,-14.5,14.306690541047828,,left_only
30.5,-14.75,30.75,-14.5,10.578244642110462,,left_only
30.75,-14.75,31.0,-14.5,34.17498847100512,,left_only
31.0,-14.75,31.25,-14.5,39.48667018801325,,left_only
31.25,-14.75,31.5,-14.5,47.99004719071922,,left_only
31.5,-14.75,31.75,-14.5,33.02839720589316,,left_only
31.75,-14.75,32.0,-14.5,18.868397034088844,,left_only
33.25,-14.75,33.5,-14.5,12.484892587241688,,left_only
33.5,-14.75,33.75,-14.5,47.34152966863837,,left_only
33.75,-14.75,34.0,-14.5,80.68493604217986,,left_only
34.0,-14.75,34.25,-14.5,116.31503871028816,,left_only
34.25,-14.75,34.5,-14.5,124.83151253597192,,left_only
34.5,-14.75,34.75,-14.5,141.5001043422376,,left_only
34.75,-14.75,35.0,-14.5,107.6399268306177,,left_only
35.0,-14.75,35.25,-14.5,102.21339327635089,,left_only
35.25,-14.75,35.5,-14.5,98.87670088936945,,left_only
35.5,-14.75,35.75,-14.5,104.38346013288742,,left_only
35.75,-14.75,36.0,-14.5,42.82344690780633,,left_only
36.25,-14.75,36.5,-14.5,31.21497266885933,,left_only
36.5,-14.75,36.75,-14.5,49.84513012713944,,left_only
36.75,-14.75,37.0,-14.5,21.618342715416134,,left_only
37.0,-14.75,37.25,-14.5,15.376636565983745,,left_only
37.25,-14.75,37.5,-14.5,20.091673558228763,,left_only
37.5,-14.75,37.75,-14.5,14.199999140978434,,left_only
37.75,-14.75,38.0,-14.5,16.150003048563804,,left_only
38.0,-14.75,38.25,-14.5,15.954980312225755,,left_only
38.25,-14.75,38.5,-14.5,20.216651165499343,,left_only
38.5,-14.75,38.75,-14.5,26.446612133559483,,left_only
38.75,-14.75,39.0,-14.5,39.43672888577044,,left_only
39.0,-14.75,39.25,-14.5,13.683327107031571,,left_only
39.25,-14.75,39.5,-14.5,20.043256858322597,,left_only
39.5,-14.75,39.75,-14.5,40.99324599458805,,left_only
39.75,-14.75,40.0,-14.5,64.52166320990716,,left_only
40.0,-14.75,40.25,-14.5,72.46997384953261,,left_only
40.25,-14.75,40.5,-14.5,60.34826890273041,,left_only
40.5,-14.75,40.75,-14.5,140.065509454913,,left_only
40.75,-14.75,41.0,-14.5,16.973380394878404,,left_only
17.5,-14.5,17.75,-14.25,26.20163332365871,,left_only
23.0,-14.5,23.25,-14.25,12.906647945131226,,left_only
23.25,-14.5,23.5,-14.25,18.041692237134043,,left_only
28.0,-14.5,28.25,-14.25,21.893139934307328,,left_only
